Element,Wavelength_A
S I,6994.616
S I,7162.086
S I,7162.086
S I,7162.086
S I,7165.4349999999995
S I,7166.142
S I,7166.142
S I,7167.33
S I,7167.33
S I,7167.33
S I,7168.4439999999995
S I,7168.4439999999995
S I,7168.4439999999995
S I,7242.509
S I,7243.1179999999995
S I,7243.780000000001
S I,7244.407999999999
S I,7244.791
S I,7245.017
S I,7443.248
S I,7443.248
S I,7443.248
S I,7446.865
S I,7447.628999999999
S I,7447.628999999999
S I,7448.912
S I,7448.912
S I,7448.912
S I,7450.116
S I,7450.116
S I,7450.116
S I,7468.588
S I,7478.594000000001
S I,7679.62
S I,7686.16
S I,7696.758
S I,7923.763
S I,7923.763
S I,7923.763
S I,7927.862
S I,7928.728
S I,7928.728
S I,7930.182
S I,7930.182
S I,7930.182
S I,7931.5470000000005
S I,7931.5470000000005
S I,7931.5470000000005
S I,8395.560000000001
S I,8404.298999999999
S I,8449.559000000001
S I,8451.289
S I,8452.144
S I,8565.055
S I,8566.182999999999
S I,8566.182999999999
S I,8571.892
S I,8571.892
S I,8617.09
S I,8626.541
S I,8633.124
S I,8648.556
S I,8655.172999999999
S I,8668.44
S I,8670.182999999999
S I,8670.589
S I,8671.281
S I,8678.927
S I,8679.619999999999
S I,8680.411
S I,8693.137
S I,8693.931
S I,8694.626
S I,8874.423
S I,8874.423
S I,8874.423
S I,8879.565
S I,8880.651
S I,8880.651
S I,8882.474999999999
S I,8882.474999999999
S I,8882.474999999999
S I,8884.187
S I,8884.187
S I,8884.187
S I,8970.073
S I,8971.31
S I,8971.31
S I,8977.572
S I,8977.572
S I,9035.885
S I,9036.344000000001
S I,9036.67
S I,9038.649000000001
S I,9039.3
S I,9039.627
S I,9212.863
S I,9228.093
S I,9237.538
S I,9413.274
S I,9421.765
S I,9436.967
S I,9437.489000000001
S I,9444.845000000001
S I,9460.647
S I,9633.133
S I,9649.571
S I,9672.284
S I,9672.532
S I,9677.137
S I,9678.576000000001
S I,9678.576000000001
S I,9680.561
S I,9680.809000000001
S I,9685.865
S I,9685.865
S I,9685.865
S I,9691.649
S I,9693.687
S I,9697.41
S I,9737.462
S I,9737.713
S I,9739.655
S I,9739.907
S I,9741.965
S I,9909.702
S I,9912.155999999999
S I,9932.357
S I,9949.833
S I,9958.863
S I,9962.997
S I,9971.636
S I,9980.617999999999
S I,9996.743
Ca II,2103.235
Ca II,2112.757
Ca II,2113.146
Ca II,2131.505
Ca II,2132.304
Ca II,2197.787
Ca II,2208.611
Ca II,2659.1719999999996
Ca II,2659.565
Ca II,2784.5319999999997
Ca II,2785.156
Ca II,2897.806
Ca II,2899.421
Ca II,2899.421
Ca II,2995.46
Ca II,2996.567
Ca II,3003.641
Ca II,3037.094
Ca II,3038.3550000000005
Ca II,3051.189
Ca II,3058.495
Ca II,3058.495
Ca II,3123.308
Ca II,3125.183
Ca II,3125.183
Ca II,3141.177
Ca II,3148.9210000000003
Ca II,3148.9210000000003
Ca II,3158.869
Ca II,3179.331
Ca II,3181.275
Ca II,3201.148
Ca II,3201.973
Ca II,3203.118
Ca II,3210.4809999999998
Ca II,3218.571
Ca II,3308.016
Ca II,3316.508
Ca II,3316.605
Ca II,3344.884
Ca II,3347.0350000000003
Ca II,3347.0350000000003
Ca II,3452.656
Ca II,3461.87
Ca II,3462.0139999999997
Ca II,3483.105
Ca II,3484.602
Ca II,3485.4379999999996
Ca II,3485.618
Ca II,3495.1549999999997
Ca II,3683.698
Ca II,3694.107
Ca II,3694.3509999999997
Ca II,3706.024
Ca II,3736.902
Ca II,3755.672
Ca II,3758.384
Ca II,3758.384
Ca II,3933.6630000000005
Ca II,3960.736
Ca II,3960.736
Ca II,3968.469
Ca II,4097.098
Ca II,4109.815
Ca II,4113.7119999999995
Ca II,4113.7119999999995
Ca II,4206.1759999999995
Ca II,4220.071
Ca II,4404.459
Ca II,4404.63
Ca II,4472.053
Ca II,4479.433
Ca II,4489.179
Ca II,4489.179
Ca II,4489.179
Ca II,4664.566
Ca II,4664.8279999999995
